AÑO,FY,Detalle,Compañía,Sociedad,ON,Concepto,Fecha Inicio,Fecha Fin,Tasa,Moneda,Monto Emitido,Outstanding,Intereses,Amortización,Capital
2025,FY2026,HD,3000 - IRSA Inversiones y Repr,3000 - IRSA Inversiones y Repr,XXIV,Intereses,31/03/2025,30/09/2025,"8,00%",USD Int,,300454198,"12.018.167,92",,
2026,FY2026,HD,3000 - IRSA Inversiones y Repr,3000 - IRSA Inversiones y Repr,XXIV,Intereses,30/09/2025,31/03/2026,"8,00%",USD Int,,480454198,"19.218.167,92",,
2026,FY2027,HD,3000 - IRSA Inversiones y Repr,3000 - IRSA Inversiones y Repr,XXIV,Intereses,31/03/2026,30/09/2026,"8,00%",USD Int,,480454198,"19.218.167,92",,
2027,FY2027,HD,3000 - IRSA Inversiones y Repr,3000 - IRSA Inversiones y Repr,XXIV,Intereses,30/09/2026,31/03/2027,"8,00%",USD Int,,480454198,"19.218.167,92",,
2027,FY2028,HD,3000 - IRSA Inversiones y Repr,3000 - IRSA Inversiones y Repr,XXIV,Intereses,31/03/2027,30/09/2027,"8,00%",USD Int,,480454198,"19.218.167,92",,
2028,FY2028,HD,3000 - IRSA Inversiones y Repr,3000 - IRSA Inversiones y Repr,XXIV,Intereses,30/09/2027,31/03/2028,"8,00%",USD Int,,480454198,"19.218.167,92",,
2028,FY2029,HD,3000 - IRSA Inversiones y Repr,3000 - IRSA Inversiones y Repr,XXIV,Intereses,31/03/2028,30/09/2028,"8,00%",USD Int,,480454198,"19.218.167,92",,
2029,FY2029,HD,3000 - IRSA Inversiones y Repr,3000 - IRSA Inversiones y Repr,XXIV,Intereses,30/09/2028,31/03/2029,"8,00%",USD Int,,480454198,"19.218.167,92",,
2029,FY2030,HD,3000 - IRSA Inversiones y Repr,3000 - IRSA Inversiones y Repr,XXIV,Intereses,31/03/2029,30/09/2029,"8,00%",USD Int,,480454198,"19.218.167,92",,
2025,FY2026,HD,3000 - IRSA Inversiones y Repr,3000 - IRSA Inversiones y Repr,XXIV,Intereses,30/09/2029,31/03/2030,"8,00%",USD Int,,480454198,"19.218.167,92",,
2026,FY2026,HD,3000 - IRSA Inversiones y Repr,3000 - IRSA Inversiones y Repr,XXIV,Intereses,31/03/2030,30/09/2030,"8,00%",USD Int,,480454198,"19.218.167,92",,
2029,FY2030,HD,3000 - IRSA Inversiones y Repr,3000 - IRSA Inversiones y Repr,XXIII,Intereses + Capital,23/07/2029,23/10/2029,"7,25%",USD MEP - ARGENTINA,51467822,51467822,"940.521,57",100%,51.467.822
2026,FY2027,HD,3000 - IRSA Inversiones y Repr,3000 - IRSA Inversiones y Repr,XXIV,Intereses,30/09/2030,31/03/2031,"8,00%",USD Int,,480454198,"19.218.167,92",,
2029,FY2030,HD,3000 - IRSA Inversiones y Repr,3000 - IRSA Inversiones y Repr,XXIII,Intereses,23/01/2029,23/07/2029,"7,25%",USD MEP - ARGENTINA,,51467822,"1.850.373,96",,
2027,FY2027,HD,3000 - IRSA Inversiones y Repr,3000 - IRSA Inversiones y Repr,XXIV,Intereses,31/03/2031,30/09/2031,"8,00%",USD Int,,480454198,"19.218.167,92",,
2029,FY2029,HD,3000 - IRSA Inversiones y Repr,3000 - IRSA Inversiones y Repr,XXIII,Intereses,23/07/2028,23/01/2029,"7,25%",USD MEP - ARGENTINA,,51467822,"1.881.043,14",,
2027,FY2028,HD,3000 - IRSA Inversiones y Repr,3000 - IRSA Inversiones y Repr,XXIV,Intereses,30/09/2031,31/03/2032,"8,00%",USD Int,,480454198,"19.218.167,92",,
2028,FY2029,HD,3000 - IRSA Inversiones y Repr,3000 - IRSA Inversiones y Repr,XXIII,Intereses,23/01/2028,23/07/2028,"7,25%",USD MEP - ARGENTINA,,51467822,"1.860.597,02",,
2028,FY2028,HD,3000 - IRSA Inversiones y Repr,3000 - IRSA Inversiones y Repr,XIV,Intereses + Capital,22/12/2027,22/06/2028,"8,75%",USD Int,103292263,30987679,"1.355.710,95",30%,30.987.679
2028,FY2028,HD,3000 - IRSA Inversiones y Repr,3000 - IRSA Inversiones y Repr,XXIV,Intereses,31/03/2032,30/09/2032,"8,00%",USD Int,,480454198,"19.218.167,92",,
2028,FY2028,HD,3000 - IRSA Inversiones y Repr,3000 - IRSA Inversiones y Repr,XXIII,Intereses,23/07/2027,23/01/2028,"7,25%",USD MEP - ARGENTINA,,51467822,"1.881.043,14",,
2027,FY2028,HD,3000 - IRSA Inversiones y Repr,3000 - IRSA Inversiones y Repr,XIV,Intereses,22/06/2027,22/12/2027,"8,75%",USD Int,,30987679,"1.355.710,95",,
2027,FY2028,HD,3000 - IRSA Inversiones y Repr,3000 - IRSA Inversiones y Repr,XXII,Intereses + Capital,23/07/2027,23/10/2027,"5,75%",USD MEP - ARGENTINA,15799810,15799810,"228.989,03",100%,15.799.810
2028,FY2029,HD,3000 - IRSA Inversiones y Repr,3000 - IRSA Inversiones y Repr,XXIV,Intereses + Capital,30/09/2032,31/03/2033,"8,00%",USD Int,480454198,480454198,"19.218.167,92",33%,158.549.885
2027,FY2028,HD,3000 - IRSA Inversiones y Repr,3000 - IRSA Inversiones y Repr,XXII,Intereses,23/01/2027,23/07/2027,"5,75%",USD MEP - ARGENTINA,,15799810,"450.511,02",,
2027,FY2028,HD,3000 - IRSA Inversiones y Repr,3000 - IRSA Inversiones y Repr,XXIII,Intereses,23/01/2027,23/07/2027,"7,25%",USD MEP - ARGENTINA,,51467822,"1.850.373,96",,
2027,FY2027,HD,3000 - IRSA Inversiones y Repr,3000 - IRSA Inversiones y Repr,XIV,Intereses + Capital,22/12/2026,22/06/2027,"8,75%",USD Int,103292263,49063825,"2.146.542,34",18%,18.076.146
2029,FY2029,HD,3000 - IRSA Inversiones y Repr,3000 - IRSA Inversiones y Repr,XXIV,Intereses,31/03/2033,30/09/2033,"8,00%",USD Int,,317381874,"12.695.274,97",,
2027,FY2027,HD,3000 - IRSA Inversiones y Repr,3000 - IRSA Inversiones y Repr,XVIII,Intereses + Capital,28/08/2026,28/02/2027,"7,00%",USD MEP - ARGENTINA S/MULC,21408926,21408926,"755.471,14",100%,21.408.926
2027,FY2027,HD,3000 - IRSA Inversiones y Repr,3000 - IRSA Inversiones y Repr,XXII,Intereses,23/07/2026,23/01/2027,"5,75%",USD MEP - ARGENTINA,,15799810,"457.978,05",,
2027,FY2027,HD,3000 - IRSA Inversiones y Repr,3000 - IRSA Inversiones y Repr,XXIII,Intereses,23/07/2026,23/01/2027,"7,25%",USD MEP - ARGENTINA,,51467822,"1.881.043,14",,
2026,FY2027,HD,3000 - IRSA Inversiones y Repr,3000 - IRSA Inversiones y Repr,XIV,Intereses,22/06/2026,22/12/2026,"8,75%",USD Int,,49063825,"2.146.542,34",,
2029,FY2030,HD,3000 - IRSA Inversiones y Repr,3000 - IRSA Inversiones y Repr,XXIV,Intereses + Capital,30/09/2033,31/03/2034,"8,00%",USD Int,480454198,317381874,"12.695.274,97",33%,158.549.885
2026,FY2027,HD,3000 - IRSA Inversiones y Repr,3000 - IRSA Inversiones y Repr,XVIII,Intereses,28/02/2026,28/08/2026,"7,00%",USD MEP - ARGENTINA S/MULC,,21408926,"743.153,68",,
2026,FY2027,HD,3000 - IRSA Inversiones y Repr,3000 - IRSA Inversiones y Repr,XXII,Intereses,23/01/2026,23/07/2026,"5,75%",USD MEP - ARGENTINA,,15799810,"450.511,02",,
2026,FY2027,HD,3000 - IRSA Inversiones y Repr,3000 - IRSA Inversiones y Repr,XXIII,Intereses,23/01/2026,23/07/2026,"7,25%",USD MEP - ARGENTINA,,51467822,"1.850.373,96",,
2026,FY2026,HD,3000 - IRSA Inversiones y Repr,3000 - IRSA Inversiones y Repr,XIV,Intereses + Capital,22/12/2025,22/06/2026,"8,75%",USD Int,103292263,67139971,"2.937.373,73",18%,18.076.146
2026,FY2026,HD,3000 - IRSA Inversiones y Repr,3000 - IRSA Inversiones y Repr,XX,Intereses + Capital,10/12/2025,10/06/2026,"6,00%",USD MEP - ARGENTINA S/MULC,23015242,23015242,"688.565,60",100%,23.015.242
2029,FY2030,HD,3000 - IRSA Inversiones y Repr,3000 - IRSA Inversiones y Repr,XXIV,Intereses,31/03/2034,30/09/2034,"8,00%",USD Int,,161059459,"6.442.378,34",,
2026,FY2026,HD,3000 - IRSA Inversiones y Repr,3000 - IRSA Inversiones y Repr,XVIII,Intereses,28/08/2025,28/02/2026,"7,00%",USD MEP - ARGENTINA S/MULC,,21408926,"755.471,14",,
2026,FY2026,HD,3000 - IRSA Inversiones y Repr,3000 - IRSA Inversiones y Repr,XXII,Intereses,23/07/2025,23/01/2026,"5,75%",USD MEP - ARGENTINA,,15799810,"457.978,05",,
2026,FY2026,HD,3000 - IRSA Inversiones y Repr,3000 - IRSA Inversiones y Repr,XXIII,Intereses,23/07/2025,23/01/2026,"7,25%",USD MEP - ARGENTINA,,51467822,"1.881.043,14",,
2025,FY2026,HD,3000 - IRSA Inversiones y Repr,3000 - IRSA Inversiones y Repr,XIV,Intereses,22/06/2025,22/12/2025,"8,75%",USD Int,,67139971,"2.937.373,73",,
2025,FY2026,HD,3000 - IRSA Inversiones y Repr,3000 - IRSA Inversiones y Repr,XX,Intereses,10/06/2025,10/12/2025,"6,00%",USD MEP - ARGENTINA S/MULC,,23015242,"692.348,92",,
2025,FY2026,HD,3000 - IRSA Inversiones y Repr,3000 - IRSA Inversiones y Repr,XVII,Intereses + Capital,07/06/2025,07/12/2025,"5,00%",USD MEP - ARGENTINA S/MULC,25000000,25000000,"626.712,33",100%,25.000.000
2029,FY2030,HD,3000 - IRSA Inversiones y Repr,3000 - IRSA Inversiones y Repr,XXIV,Intereses + Capital,30/09/2034,31/03/2035,"8,00%",USD Int,480454198,161059459,"6.442.378,34",34%,163.354.427
